 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
| 18.1/(FRExt)| 04/25 | 17:12 |                        depth_ballet.yuv|   10 |  0/0  | 24 | 24 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  16 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 47.875|101.067| 57.933| 47.435|101.067| 57.449| 256120|1490480|      0|  1747060|        1940575   |        1841788   |
| 18.1/(FRExt)| 04/25 | 17:47 |                        depth_ballet.yuv|   10 |  0/0  | 16 | 16 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  16 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 50.824|101.067| 58.582| 51.519|101.067| 58.550| 501880|3324160|      0|  3826500|        1897366   |        1780716   |
| 18.1/(FRExt)| 04/25 | 20:39 |                        depth_ballet.yuv|   10 |  0/0  | 12 | 12 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  16 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 56.990|101.067| 60.098| 56.109|101.067| 60.063| 694700|4714280|      0|  5409440|        1871412   |        1746116   |
| 18.1/(FRExt)| 04/25 | 21:56 |                        depth_ballet.yuv|   10 |  0/0  | 14 | 14 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  16 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 55.126|101.067| 59.465| 54.770|101.067| 59.433| 571780|3944200|      0|  4516440|        1878219   |        1758805   |
| 18.1/(FRExt)| 04/25 | 22:40 |                        depth_ballet.yuv|   10 |  0/0  | 28 | 28 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  16 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 45.560|101.067| 57.266| 45.009|101.067| 57.127| 184320| 995140|      0|  1179920|        1961201   |        1867257   |
| 18.1/(FRExt)| 04/26 | 20:35 |                   depth_breakdancer.yuv|   10 |  0/0  | 28 | 28 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  16 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 46.858|101.067| 55.809| 45.811|101.067| 55.899| 124040| 905760|      0|  1030260|        2046117   |        1950999   |
| 18.1/(FRExt)| 04/26 | 21:15 |                   depth_breakdancer.yuv|   10 |  0/0  | 24 | 24 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  16 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 49.255|101.067| 56.794| 48.263|101.067| 56.100| 191580|1400840|      0|  1592880|        2008593   |        1909931   |
| 18.1/(FRExt)| 04/26 | 21:53 |                   depth_breakdancer.yuv|   10 |  0/0  | 22 | 22 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  16 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 50.243|101.067| 57.354| 49.506|101.067| 56.913| 235960|1772760|      0|  2009180|        2001182   |        1897736   |
| 18.1/(FRExt)| 04/26 | 22:32 |                   depth_breakdancer.yuv|   10 |  0/0  | 16 | 16 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  16 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 53.648|101.067| 57.624| 53.026|101.067| 57.566| 427100|3268060|      0|  3695620|        1952114   |        1834267   |
| 18.1/(FRExt)| 05/02 | 09:55 |                   depth_breakdancer.yuv|   10 |  0/0  | 14 | 14 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  16 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 55.098|101.067| 58.508| 54.538|101.067| 58.400| 501640|3933640|      0|  4435740|        1931166   |        1807890   |
| 18.1/(FRExt)| 05/02 | 10:44 |                   depth_breakdancer.yuv|   10 |  0/0  | 12 | 12 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  16 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 56.671|101.067| 59.086| 55.782|101.067| 59.062| 635120|4783400|      0|  5418980|        1912027   |        1785490   |
| 18.1/(FRExt)| 10/24 | 17:03 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 219840| 120800|      0|   342320|       24904439   |       21057226   |
| 18.1/(FRExt)| 11/04 | 19:34 |                   depth_breakdancer.yuv|   10 |  0/0  | 12 | 12 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  16 |  1  | 25.00| CABAC|   1  |   OFF   |  0  | 56.671|101.067| 59.086| 55.726|101.067| 58.994| 635120|4930440|      0|  5565980|         367741   |         297971   |
| 18.1/(FRExt)| 01/07 | 16:46 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 35.482| 40.935| 42.534| 219840| 211040|      0|   432560|          18786   |          11526   |
| 18.1/(FRExt)| 01/07 | 16:48 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 35.482| 40.935| 42.534| 219840| 211120|      0|   432640|          14691   |          11511   |
| 18.1/(FRExt)| 01/07 | 16:49 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 35.482| 40.935| 42.534| 219840| 211120|      0|   432640|          34888   |          11595   |
| 18.1/(FRExt)| 01/07 | 16:54 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 35.482| 40.935| 42.534| 219840| 211120|      0|   432640|          94717   |          11552   |
| 18.1/(FRExt)| 01/07 | 16:58 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 35.482| 40.935| 42.534| 219840| 211120|      0|   432640|         103455   |          11575   |
